ref,organisation,category,id,link,version,title,subtitle,description,body,created,updated,access,state,keywords,supersedes,superseded
ST365,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2022-08/tier_3b_requirements_for_the_estimation_of_measurement_uncertainty_2007_edition.pdf,,Requirements for the estimation of measurement of uncertainty,,This document provides guidance for pathology laboratories on an acceptable degree of variation in measurements.,"All types of measurements have some inaccuracies, which means that measurement results can only be estimates of the quantities being measured. Measurement uncertainty provides quantitative estimates of the level of confidence that a laboratory has in the analytical precision of test results, and is an essential component of a quality system for medical laboratories.
This document provides guidance for pathology laboratories on an acceptable degree of variation in measurements. It provides a diverse range of examples for the different disciplines of pathology to consider when estimating measurement.
Main sections:
- Principles and relevance of measurement uncertainty
- Measurement uncertainty and traceability
- Measurement uncertainty and bias
- Guide to uncertainty in measurement and medical testing
- Sources of uncertainty and the interpretation of patient results
- Standard
- Guidelines
- Measurands
- Imprecision
- Bias
- Measurement uncertainty goals
- Measurement uncertainty outcomes
- Numerical significance
- Clinical applications
- Appendices",2007,,Open,Active,"ACSQHC
NPAAC
Standard
Pathology
Laboratory
Uncertainty
Health measurements",,
ST325,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2022-08/tier_3b_requirements_for_the_development_and_use_of_in-house_in_vitro_diagnostic_medical_devices_ivds_fourth_edition_2018.pdf,4,Requirements for the development and use of in-house in vitro diagnostic medical devices (IVDs) v4,,"This document outlines the principles and assessment criteria by which in-house in vitro diagnostic medical devices (IVDs) must be designed, developed, produced, validated and monitored for use by medical laboratories in Australia.","This document outlines the principles and assessment criteria by which in-house in vitro diagnostic medical devices (IVDs) must be designed, developed, produced, validated and monitored for use by medical laboratories in Australia. The document addresses provision of appropriate resources, design, production, validation and continual monitoring of a device, including a device being used for purposes not intended by the manufacturer.
Main sections:
- General requirements
- Particular requirements - design 
- Particular requirements - production and contracted services
- Particular requirements - analytical performance 
- Particular requirements - scientific validity 
- Particular requirements - clinical performance 
- Particular requirements - clinical utility 
- Particular requirements - multivariate index assays
- Particular requirements - monitoring, analysis and improvement 
- Particular requirements - adverse event reporting and recalls of tests 
- Particular requirements - documentation ",,2018,Open,Active,"ACSQHC
NPAAC
Standard
Pathology
Laboratory
Medical device
In vitro diagnostic medical device
IVD",,
ST362,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2022-08/tier_3b_requirements_for_quality_control_external_quality_assurance_and_method_evaluation_sixth_edition_2018.pdf,6,"Requirements for quality control, external quality assurance and method evaluation",,This document outlines the general features that an internal quality control system and an external quality assessment program must have in order to provide an effective monitoring strategy for the various pathology disciplines.,"This document outlines the general features that an internal quality control system and an external quality assessment program must have in order to provide an effective monitoring strategy for the various pathology disciplines. It also provides guidance on method evaluation for laboratories.
Main sections:
- Assuring quality in patient results
- Quality control
- Internal quality assurance
- Pre- and post-analytical quality assurance
- Enrolment and participation in external quality assurance programs
- Introduction of a new assay or procedure",2018,,Open,Active,"ACSQHC
NPAAC
Standard
Pathology
Laboratory
Quality
Quality control
Quality assurance",,
ST326,Australian Commission on Safety and Quality in Health Care (ACSQHC),Guideline,,https://www.safetyandquality.gov.au/sites/default/files/2022-08/tier_3b_requirements_for_medical_pathology_specimen_collection_third_edition_2013.pdf,3,Guidelines for approved pathology collection centres v3,Requirements for medical pathology specimen collection,"These guidelines set out minimum requirements for medical pathology specimen collection. The requirements apply to approved collection centres, hospital collection points and any collection activity connected to an approved pathology authority. ","These guidelines set out minimum requirements for medical pathology specimen collection. The requirements apply to approved collection centres, hospital collection points and any collection activity connected to an approved pathology authority. They cover premises, staffing, equipment, documentation, storage, transport, collection procedures and safety.
Main sections:
- Premises
- Equipment
- Personnel
- Documentation/instruction
- Collection procedures
- Transport and storage of specimens",,2013,Open,Active,"ACSQHC
NPAAC
Guideline
Pathology
Laboratory
Specimen collection",,
ST364,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2022-08/tier_3a_requirements_for_the_communication_of_high_risk_pathology_results_first_edition_2020.pdf,1,Requirements for the communication of high risk pathology results,,This document outlines the minimum best-practice standards for the management and communication of high-risk pathology results by the pathology service.,"This document outlines the minimum best-practice standards for the management and communication of high-risk pathology results by the pathology service. The pathology service is required to provide medical and scientific consultation on these results when sought, but decisions about the management of the patient are made by the managing clinician. The effective communication of these results is a shared responsibility between the laboratory staff and the attending medical team.",2020,,Open,Active,"ACSQHC
NPAAC
Standard
Pathology
Laboratory
High-risk pathology results",,
ST321,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2022-08/tier_2_requirements_for_medical_pathology_serivces_third_edition_2018.pdf,3,Requirements for medical pathology services v3,,The Requirement for Medical Pathology Services (Third Edition 2018) outlines standards for good medical pathology practice.,"The Requirement for Medical Pathology Services (Third Edition 2018) outlines standards for good medical pathology practice. These standards must be met to achieve accreditation and to ensure the safety, efficacy and quality of all medical pathology testing.
Main sections:
- The role of standards in the Australian Pathology Accreditation Framework
- Ethical practice
- Risk management
- Clinical governance
- Quality management
- Personnel
- Facilities and equipment
- Request-test-report cycle",,2018,Open,Active,"ACSQHC
NPAAC
Standard
Pathology
Laboratory
Quality
Governance
Risk management",,
ST310,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2022-08/low_back_pain_clinical_care_standard.pdf,,Low Back Pain Clinical Care Standard ,,"This clinical care standard describes the care that should be received by patients aged 16+ who present with low back pain, with or without leg pain","Low back pain is a common back problem that often leads to psychological distress, disability and poorer quality of life.
This clinical care standard describes the care that should be received by patients aged 16+ who present with low back pain, with or without leg pain. It covers the early clinical assessment, management, and review and referral of people with low back pain symptoms who present with a new acute episode. It does not cover surgical intervention or ongoing management.
Main sections:
- Low back pain clinical care standard
- Indicators for local monitoring
- Clinical care standards
- About the low back pain clinical care standard
- How to use this clinical care standard
- Background: low back pain
- Quality statement 1 - Initial clinical assessment
- Quality statement 2 - Psychosocial assessment
- Quality statement 3 - Reserve imaging for suspected serious pathology
- Quality statement 4 - Patient education and advice
- Quality statement 5 - Encourage self-management and physical activity
- Quality statement 6 - Physical and/or psychological interventions
- Quality statement 7 - Judicious use of pain medicines
- Quality statement 8 - Review and referral",Sep-22,,Open,Active,"ACSQHC
Standard
Clinical Care Standard
Patient care
Clinical care
Quality
Low back pain",,
ST314,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2022-06/sepsis_clinical_care_standard_2022.pdf,,Sepsis Clinical Care Standard,,"This clinical care standard describes the care that should be received by patients of all ages (including neonates and older people) presenting with signs and symptoms of sepsis in primary and community care, acute and non-acute settings.","Sepsis is a life-threatening condition that arises when the body's response to an infection damages its own tissues and organs.
This clinical care standard describes the care that should be received by patients of all ages (including neonates and older people) presenting with signs and symptoms of sepsis in primary and community care, acute and non-acute settings. It covers the patient journey from symptom onset to discharge from hospital and survivorship care.
Main sections:
- Sepsis clinical care standard
- Indicators for local monitoring
- Clinical care standards
- About the sepsis clinical care standard
- How to use this clinical care standard
- Background: sepsis
- Quality statement 1 - Could it be sepsis?
- Quality statement 2 - Time-critical management
- Quality statement 3 - Management of antimicrobial therapy
- Quality statement 4 - Multidisciplinary coordination of care in hospital
- Quality statement 5 - Patient and carer education and information
- Quality statement 6 - Transitions of care and clinical communication
- Quality statement 7 - Care after hospital and survivorship",Jun-22,,Open,Active,"ACSQHC
Standard
Clinical Care Standard
Patient care
Clinical care
Quality
Sepsis",,
ST300,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2022-06/acute_anaphylaxis_clinical_care_standard_2022.pdf,,Acute Anaphylaxis Clinical Care Standard,,"This clinical care standard describes the care that patients should receive when they have anaphylaxis. It applies to adults, children and infants, including those who experience anaphylaxis while in a healthcare facility.","Anaphylaxis is a severe and potentially life-threatening form of allergic reaction. This clinical care standard describes the care that patients should receive when they have anaphylaxis. It applies to adults, children and infants, including those who experience anaphylaxis while in a healthcare facility.
It supports the provision of high-quality, evidence-based care, which should take into account the context in which care is provided, local variation and the quality improvement priorities of the individual health services.
Main sections:
- Acute anaphylaxis clinical care standard
- Indicators for local monitoring
- Clinical care standards
- About the acute anaphylaxis clinical care standard
- How to use this clinical care standard
- Background: Anaphylaxis
- Quality statement 1 - Prompt recognition of anaphylaxis
- Quality statement 2 - Immediate injection of intramuscular adrenaline 
- Quality statement 3 - Correct patient positioning
- Quality statement 4 - Access to a personal adrenaline injector in all healthcare settings
- Quality statement 5 - Observation time following anaphylaxis
- Quality statement 6 - Discharge management and documentation",Nov-21,,Open,Active,"ACSQHC
Standard
Clinical Care Standard
Patient care
Clinical care
Quality
Anaphylaxis
Allergy",,
ST11,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,National Clinical Trials Governance Framework,https://www.safetyandquality.gov.au/sites/default/files/2022-05/final_design_-_national_clinical_trials_governance_framework_and_user_guide_-_30_may_2022.pdf,1,"The National Clinical Trials Governance Framework and user guide for health service organisations conducting clinical trials, Edition 1",,The National Clinical Trials Governance Framework supports the integration of clinical trial services into routine hospital care.,"The National Clinical Trials Governance Framework supports the integration of clinical trial services into routine hospital care. It strengthens governance arrangements for clinical trial services and provides clarity to governments, health service organisations, hospital administrators, clinicians and others responsible for delivering clinical trials.
The Framework sets out roles and functions, mandatory actions required for accreditation, suggested strategies for the actions, and examples of evidence demonstrating the actions.  
The Framework is underpinned by best practice principles consistent with Australian regulations, and aligns with National Safety and Quality Health Service Standards.
Main sections:
- Health service organisational governance
- Clinical trials governance as an integrated component of organisational governance
- Components of the National Clinical Trials Governance Framework
- Accreditation to the NSQHS Standards
- Core principles of governance for clinical trial services
- Roles and functions of identified positions
- Clinical Governance Standard
- Component 1: Governance, leadership and culture
- Component 2: Patient safety and quality improvement systems
- Component 3: Clinical performance and effectiveness
- Component 4: Safe environment for the delivery of care
- Component 5: Partnering with consumers",Feb-22,,Open,Active,"ACSQHC
Standard
National Safety and Quality Health Service Standards
Clinical trials
Governance",,
ST302,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2022-05/Acute-Stroke-Clinical-Care-Standard-2019.pdf,,Acute Stroke Clinical Care Standard ,,"This clinical care standard describes the care that patients should receive when they are or may be having a stroke. It covers recognition of stroke, rapid assessment, early management, and early initiation of an individualised rehabilitation plan.","Stroke occurs when there is a sudden interruption to the blood supply to the brain. This clinical care standard describes the care that patients should receive when they are or may be having a stroke. It covers recognition of stroke, rapid assessment, early management, and early initiation of an individualised rehabilitation plan.
Main sections:
- Acute stroke clinical care standard
- Indicators for local monitoring
- About the clinical care standards
- Acute stroke
- How to use this clinical care standard
- Early assessment
- Time-critical therapy
- Stroke unit care
- Early rehabilitation
- Minimising risk of another stroke
- Carer training and support
- Transition from hospital care",Oct-19,,Open,Active,"ACSQHC
Standard
Clinical Care Standard
Patient care
Clinical care
Quality
Stroke",,
ST312,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2022-04/opioid-analgesic-stewardship-in-acute-pain-clinical-care-standard.pdf,,Opioid Analgesic Stewardship in Acute Pain Clinical Care Standard,Acute care edition,This clinical care standard describes the care that patients of all ages should receive when they are prescribed opioid analgesics for acute pain in acute care settings.,"Reducing medication-related harm from high-risk medicines, including opioid analgesics, is a priority in Australia. 
This clinical care standard describes the care that patients of all ages should receive when they are prescribed opioid analgesics for acute pain in acute care settings.
Main sections:
- Opioid analgesic stewardship in acute pain clinical care standard (acute care edition) clinical care standard
- Indicators for local monitoring
- Clinical care standards
- About the opioid analgesic stewardship in acute pain clinical care standard
- How to use this clinical care standard
- Background: opioid analgesic stewardship in acute pain
- Quality statement 1 - Patient information and shared decision making
- Quality statement 2 - Acute pain assessment
- Quality statement 3 - Risk-benefit analysis
- Quality statement 4 - Pathways of care
- Quality statement 5 - Appropriate opioid analgesic prescribing
- Quality statement 6 - Monitoring and management of opioid analgesic adverse effects
- Quality statement 7 - Documentation
- Quality statement 8 - Review of therapy
- Quality statement 9 - Transfer of care",Apr-22,,Open,Active,"ACSQHC
Standard
Clinical Care Standard
Patient care
Clinical care
Quality
Opioid
Analgesic
Medicines",,
ST306,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2021-11/delirium_clinical_care_standard_2021.pdf,,Delirium Clinical Care Standard,,This clinical care standard describes the care that should be received by adults when they have delirium.,"Delirium is a serious but under-recognised condition associated with increased mortality.
This clinical care standard describes the care that should be received by adults when they have delirium. It applies primarily to hospitals, but can be adapted for use in residential aged care services.
Main sections:
- Delirium clinical care standard
- Indicators for local monitoring
- Clinical care standards
- About the Delirium Clinical Care Standard
- How to use this clinical care standard
- Background: Delirium
- Quality statement 1 - Early identification of risk
- Quality statement 2 - Interventions to prevent delirium
- Quality statement 3 - Patient-centred information and support
- Quality statement 4 - Assessing and diagnosing delirium
- Quality statement 5 - Identifying and treating underlying causes
- Quality statement 6 - Preventing complications of care
- Quality statement 7 - Avoiding use of antipsychotic medicines
- Quality statement 8 - Transition from hospital care",2016,Sep-21,Open,Active,"ACSQHC
Standard
Aged care 
Clinical Care Standard
Patient care
Clinical care
Quality
Delirium",,
ST33,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2021-10/national_safety_and_quality_primary_and_community_healthcare_standards.pdf,1,"National Safety and Quality Primary and Community Healthcare Standards, Edition 1",,"This document presents the Primary and Community Healthcare Standards that prescribe a nationally consistent framework, which all primary and community healthcare services can apply when delivering health care to patients.","This document presents the Primary and Community Healthcare Standards developed by the Australian Commission on Safety and Quality in Health Care. The three standards included are the Clinical Governance Standard, the Partnering with Consumers Standard and the Clinical Safety Standard. These standards prescribe a nationally consistent framework, which all primary and community healthcare services can apply when delivering health care to patients. The standards aim to protect the public from harm and improve the safety and quality of health care delivered. Including early intervention, treatment of acute conditions, management of chronic conditions, end-of-life care, health promotion and prevention.
Main sections: 
For each standard:
- A description of the standard
- A statement of intent
- A consumer outcome statement
- A list of criteria that describe the key areas covered by the standard
- Explanatory notes on the context of the standard
- Item headings for groups of actions in each criterion
- A consumer outcome statement for each item heading
- Actions, describing what is required to meet the standard",2021,,Open,Active,"ACSQHC
Standard
Clinical governance
Partnering with consumers
Clinical safety
Person-centred care",,
ST311,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2021-05/management_of_peripheral_intravenous_catheters_clinical_care_standard_-_accessible_pdf.pdf,,Management of Peripheral Intravenous Catheters Clinical Care Standard,,"This clinical care standard describes the care that should be received by people using peripheral intravenous catheters (PIVCs), commonly known as cannulas.","This clinical care standard describes the care that should be received by people using peripheral intravenous catheters (PIVCs), commonly known as cannulas. It aims to promote the appropriate use of PIVCs and to reduce complications by highlighting the importance of maintaining and preserving vessel health.
Main sections:
- Management of peripheral intravenous catheters clinical care standard
- Indicators for local monitoring
- Clinical care standards
- About the management of peripheral intravenous catheters clinical care standard
- How to use this clinical care standard
- Background: management of peripheral intravenous catheters clinical care standard
- Quality statement 1 - Assess intravenous access needs
- Quality statement 2 - Inform and partner with patients
- Quality statement 3 - Ensure competency
- Quality statement 4 - Choose the right insertion site and PIVC
- Quality statement 5 - Maximise first insertion success
- Quality statement 6 - Insert and secure
- Quality statement 7 - Document decisions and care
- Quality statement 8 - Routine use: inspect, access and flush
- Quality statement 9 - Review ongoing need
- Quality statement 10 - Remove safely and replace if needed",May-21,,Open,Active,"ACSQHC
Standard
Clinical Care Standard
Patient care
Clinical care
Quality
Peripheral intravenous catheter 
PIVC
Cannula",,
ST316,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2021-04/perineal_tears_ccs_v3.pdf,,Third and Fourth Degree Perineal Tears Clinical Care Standard,,This clinical care standard describes the care that women should receive when they are pregnant or experience a third or fourth degree perineal tear during birth.,"This clinical care standard describes the care that women should receive when they are pregnant or experience a third or fourth degree perineal tear during birth. It applies to care provided during pregnancy, labour, birth and the postpartum period, as well as postoperative and longer-term follow-up care.
Main sections:
- Third and fourth degree perineal tears clinical care standard
- Indicators
- Clinical care standards
- About the third and fourth degree perineal tears clinical care standard
- How to use this clinical care standard
- Background: third and fourth degree perineal tears
- Information, shared decision making and informed consent 
- Reducing risk during pregnancy, labour and birth 
- Instrumental vaginal birth
- Identifying third and fourth degree perineal tears
- Repairing third and fourth degree perineal tears
- Postoperative care
- Follow-up care post-discharge",Apr-21,,Open,Active,"ACSQHC
Standard
Clinical Care Standard
Patient care
Clinical care
Quality
Maternal
Perineal tear
Pregnancy",,
ST318,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2020-12/implementation_guide_venous_thromboembolism_prevention_december_2020.pdf,,Implementation Guide - Venous Thromboembolism Prevention Clinical Care Standard,,This document supports local implementation of the Venous Thromboembolism Prevention Clinical Care Standard.,"Venous thromboembolism (VTE) is a disease that includes deep vein thrombosis and pulmonary embolism. It can cause complications such as post-thrombotic syndrome, pulmonary hypertension, recurrent thrombosis and death.
This document supports local implementation of the Venous Thromboembolism Prevention Clinical Care Standard. It highlights what is known about the evidence and best practice, as well as gaps in current practice for preventing VTE.
Main sections:
- Planning
- Implementation
- Beyond implementation",Dec-20,,Open,Active,"ACSQHC
Implementation guide
Clinical Care Standard
Patient care
Clinical care
Quality
Venous thromboembolism
VTE",,
ST303,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2020-11/saq10001_ccs_antimicrobial_v4_film_web.pdf,,Antimicrobial Stewardship Clinical Care Standard ,,This clinical care standard describes the care people of all ages should receive when they have or may have infection or require an antimicrobial for prophylaxis.,"Antimicrobial stewardship (AMS) is a systematic approach to optimising the use of antimicrobials to preserve their effectiveness for treating infections.
This clinical care standard describes the care people of all ages should receive when they have or may have infection or require an antimicrobial for prophylaxis. It covers patient care from the time of prophylaxis or diagnosis to cure, and also considers conditions for which antimicrobials are not recommended.
Main sections:
- Antimicrobial stewardship clinical care standard
- Indicators for local monitoring
- Clinical care standards
- About the antimicrobial stewardship clinical care standard
- How to use this clinical care standard
- Background: Antimicrobial stewardship
- Quality statement 1 - Life-threatening conditions
- Quality statement 2 - Use of guidelines
- Quality statement 3 - Adverse reactions to antimicrobials
- Quality statement 4 - Microbiological testing
- Quality statement 5 - Patient information and shared decision making
- Quality statement 6 - Documentation
- Quality statement 7 - Review of care
- Quality statement 8 - Surgical and procedural prophylaxis",Nov-20,,Open,Active,"ACSQHC
Standard
Clinical Care Standard
Patient care
Clinical care
Quality
Antimicrobial stewardship
Medicines",,
ST319,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2020-11/National%20Safety%20and%20Quality%20Digital%20Mental%20Health%20Standards%20%282%29.pdf,,National Safety and Quality Digital Mental Health Standards,,The National Safety and Quality Digital Mental Health  (NSQMH) Standards were developed to improve the quality of digital mental health service provision and protect users from harm. ,"Digital mental health services are mental health, suicide prevention, and alcohol and other drug services delivered via a digital platform, either as standalone supports or alongside in-person services. 
The National Safety and Quality Digital Mental Health  (NSQMH) Standards were developed to improve the quality of digital mental health service provision and protect users from harm. They provide a quality assurance mechanism for testing whether systems are in place to meet safety and quality standards.
Main sections:
- Clinical and technical governance standard
- Partnering with consumers standard
- Model of care standard",2020,,Open,Active,"ACSQHC
Standard
NSQHS Standards
Patient care
Clinical care
Quality
Mental health
Digital mental health services",,
ST305,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2020-04/colonoscopy_clinical_care_standard_updated_2020.pdf,,Colonoscopy Clinical Care Standard ,,"This clinical care standard describes the care that should be received by adults undergoing colonoscopy for screening, diagnosis, surveillance or treatment. ","Colonoscopy is the examination of the entire large bowel using a colonoscope: a camera in a flexible tube.
This clinical care standard describes the care that should be received by adults undergoing colonoscopy for screening, diagnosis, surveillance or treatment. It covers the period from referral through to discharge, including planning for follow-up care.
Main sections:
- Colonoscopy clinical care standard
- About the clinical care standards
- Using the clinical care standard
- Quality statement 1 - Initial assessment and referral
- Quality statement 2 - Appropriate and timely colonoscopy
- Quality statement 3 - Informed decision making and consent
- Quality statement 4 - Bowel preparation
- Quality statement 5 - Sedation
- Quality statement 6 - Clinicians
- Quality statement 7 - Procedure
- Quality statement 8 - Discharge
- Quality statement 9 - Reporting and follow-up",,Jan-20,Open,Active,"ACSQHC
Standard
Clinical Care Standard
Patient care
Clinical care
Quality
Colonoscopy",,
ST317,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2020-01/venous_thromboembolism_prevention_clinical_care_standard_-_jan_2020_2.pdf,,Venous Thromboembolism Prevention Clinical Care Standard,,This clinical care standard describes the care that patients aged 18+ should receive to reduce their risk of developing hospital-acquired VTE both in hospital and following discharge.,"Venous thromboembolism (VTE) is a disease that can cause complications such as post-thrombotic syndrome, pulmonary hypertension, recurrent thrombosis and death.
This clinical care standard describes the care that patients aged 18+ should receive to reduce their risk of developing hospital-acquired VTE both in hospital and following discharge.
Main sections:
- Venous thromboembolism prevention clinical care standard 
- About the clinical care standards
- General principles of care in relation to this clinical care standard
- Using this clinical care standard
- Quality statement 1 - Assess and document VTE risk
- Quality statement 2 - Develop a VTE prevention plan, balancing the risk of VTE against bleeding
- Quality statement 3 - Inform and partner with patients
- Quality statement 4 - Document and communicate the VTE prevention plan
- Quality statement 5 - Use appropriate VTE prevention methods
- Quality statement 6 - Reassess risk and monitor the patient for VTE-related complications
- Quality statement 7 - Transition from hospital and ongoing care",,Jan-20,Open,Active,"ACSQHC
Standard
Clinical Care Standard
Patient care
Clinical care
Quality
Venous thromboembolism
VTE",,
ST301,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,,https://www.safetyandquality.gov.au/sites/default/files/2019-12/acute_coronary_syndromes_ccs_-_december_2019.pdf,,Acute Coronary Syndromes Clinical Care Standard ,,"This clinical care standard describes the care that patients with a suspected ACS should receive, from the onset of symptoms through to discharge from hospital. It addresses recognition of an ACS, rapid assessment, early management and early initiation of a tailored rehabilitation plan.","Acute coronary syndromes (ACS) include heart attacks and other blockages in the blood vessels in the heart. This clinical care standard describes the care that patients with a suspected ACS should receive, from the onset of symptoms through to discharge from hospital. It addresses recognition of an ACS, rapid assessment, early management and early initiation of a tailored rehabilitation plan.
Main sections:
- Acute coronary syndromes clinical care standard
- Indicators for local monitoring
- About the clinical care standards
- Acute coronary syndromes
- About this clinical care standard
- How to use this clinical care standard
- Immediate management
- Early assessment
- Timely reperfusion
- Risk stratification
- Coronary angiography
- Individualised care plan",Dec-19,,Open,Active,"ACSQHC
Standard
Clinical Care Standard
Patient care
Clinical care
Quality
Acute coronary syndromes
Heart attack
",,
ST299,Australian Commission on Safety and Quality in Health Care (ACSQHC),Standard,NSQHS Standards,https://www.safetyandquality.gov.au/publications-and-resources/resource-library/national-safety-and-quality-health-service-standards-second-edition,2,National Safety and Quality Health Service Standards v2,,The National Safety and Quality Health Service Standards (NSQHS Standards) provide a quality assurance mechanism for testing whether systems are in place to meet safety and quality standards. ,"The National Safety and Quality Health Service Standards (NSQHS Standards) were developed to protect the public from harm and improve the quality of health service provision. They provide a quality assurance mechanism for testing whether systems are in place to meet safety and quality standards. 
Main sections:
- Clinical governance standard
- Partnering with consumers standard
- Preventing and controlling infections standard
- Medication safety standard
- Comprehensive care standard
- Communicating for safety standard
- Blood management standard
- Recognising and responding to acute deterioration standard
",,May-21,Open,Active,"ACSQHC
Standard
Consumer
Medicines
Medication management
Patient care
Clinical care
Primary care
Nursing
Quality
NSQHS Standards",,
ST1217,Royal College of Pathologists of Australasia  (RCPA),Supplementary Resource,,https://www.rcpa.edu.au/Manuals/RCPA-Manual/Pathology-Tests,,RCPA Manual – Pathology Tests,,This resource lists most routinely requested pathology tests available to clinicians.,This resource lists most routinely requested pathology tests available to clinicians.,,,Open,Active,"RCPA
Supplementary resource
Pathology
Clinical care",,
ST1218,Royal College of Pathologists of Australasia  (RCPA),Supplementary Resource,,https://www.rcpa.edu.au/Manuals/RCPA-Manual/Clinical-Presentations-and-Diagnoses,,RCPA Manual – Clinical Presentations and Diagnoses,,This resource presents pathology tests in the context of patient presentations and suspect diagnoses which give rise to the need for diagnostic information.,"This resource presents pathology tests in the context of patient presentations and suspect diagnoses which give rise to the need for diagnostic information. The tests listed are those likely to be useful, but consideration must always be given to the individual clinical situation.",,,Open,Active,"RCPA
Supplementary resource
Pathology
Clinical care",,
ST1213,Royal College of Pathologists of Australasia  (RCPA),Standard,,https://www.rcpa.edu.au/getattachment/a17bd052-f181-40a5-9420-214a03929cc1/APUTS-Standards-and-Guidelines.aspx,1.5,Australian Pathology Units and Terminology (APUTS) Standards and Guidelines,,This document provides guidance for implementing standardised terminology and units across the domains of pathology.,"This document describes the standards and guidelines developed by the Australian Pathology Units and Terminology Standards (APUTS) Project Group of the Royal College of Pathologists of Australasia. It provides guidance for implementing standardised terminology and units. The document also explains the reasoning behind the work done. It is intended to be used as a guide for those developing and maintaining terminology and standardised units across the domains of pathology.
Main sections:
· Authority and development
· Terminology
· Requesting terminology and codes
· Reporting terminology and codes
· Tests not to be combined in reports
· Preferred terms
· Units of measure
· Appendix A: Members of Working Groups
· Appendix B: Links
· Appendix C: Approved abbreviations",2013,,Open,Superseded,"RCPA
Standard
Pathology
Terminology
Units",,
ST719,Royal College of Pathologists of Australasia  (RCPA),Guideline,,https://www.rcpa.edu.au/getattachment/596ec9ec-1bd9-4874-928d-99d1b8695f33/RCPA-SPIA-Guidelines-V4-1.aspx,4.1,Standardised Pathology Informatics in Australia (SPIA) Guidelines v4.1,,"This document describes the guidelines around terminology, units, and rendering related to pathology requesting and reporting in Australia.","This document describes the guidelines around terminology, units, and rendering related to pathology requesting and reporting in Australia. It is intended to improve the efficiency, quality, and integrity of RCPA Standardised Pathology Informatics in Australia (SPIA) terminology and related artefacts and to support laboratory accreditation processes.
It is also intended as a guide for those continuing with the development and implementation of RCPA SPIA Guideline resources across all pathology domains.
Main sections:
· Glossary of terms and acronyms
· Scope and audience
· Interoperability and standardisation requirements
· Terminology: Guiding principles
· Requesting terminology and codes
· Reporting terminology and codes
· Tests not to be combined in reports
· Preferred terms
· Preferred units
· Rendering of numeric results, ranges, units, previous results and flagging
· Harmonised reference intervals
· Safe pathology requesting
· Safe pathology reporting
· Appendix: Useful links, scientific abbreviations and acronyms, references, other suggested reading",May-24,,Open,Active,"RCPA
Guideline
Pathology
Health measurements
Terminology
SPIA
LOINC
SNOMED",,
